date,admitted
2020-09-01,4035
2020-09-02,4002
2020-09-03,3749
2020-09-04,3966
2020-09-05,3665
2020-09-06,3245
2020-09-07,3349
2020-09-08,3591
2020-09-09,4454
2020-09-10,4423
2020-09-11,4390
2020-09-12,3976
2020-09-13,3676
2020-09-14,2974
2020-09-15,3816
2020-09-16,3389
2020-09-17,3495
2020-09-18,3449
2020-09-19,3359
2020-09-20,3006
2020-09-21,3126
2020-09-22,3657
2020-09-23,3599
2020-09-24,3496
2020-09-25,3557
2020-09-26,3624
2020-09-27,3219
2020-09-28,3620
2020-09-29,4026
2020-09-30,3899
2020-10-01,3951
2020-10-02,3806
2020-10-03,4133
2020-10-04,3572
2020-10-05,4487
2020-10-06,5245
2020-10-07,4711
2020-10-08,4738
2020-10-09,4665
2020-10-10,4671
2020-10-11,4447
2020-10-12,4569
2020-10-13,5333
2020-10-14,5266
2020-10-15,5180
2020-10-16,5446
2020-10-17,5422
2020-10-18,5099
2020-10-19,5132
2020-10-20,6119
2020-10-21,5902
2020-10-22,6071
2020-10-23,6048
2020-10-24,6187
2020-10-25,5340
2020-10-26,5463
2020-10-27,6489
2020-10-28,6900
2020-10-29,7054
2020-10-30,7321
2020-10-31,6803
2020-11-01,6272
2020-11-02,6735
2020-11-03,7810
2020-11-04,7978
2020-11-05,8362
2020-11-06,8680
2020-11-07,8834
2020-11-08,8149
2020-11-09,8524
2020-11-10,10179
2020-11-11,10300
2020-11-12,10416
2020-11-13,10576
2020-11-14,10593
2020-11-15,10013
2020-11-16,10259
2020-11-17,12058
2020-11-18,11950
2020-11-19,12004
2020-11-20,12337
2020-11-21,11975
2020-11-22,10900
2020-11-23,11123
2020-11-24,13364
2020-11-25,13079
2020-11-26,12578
2020-11-27,10978
2020-11-28,12966
2020-11-29,12298
2020-11-30,11990
2020-12-01,14253
2020-12-02,13761
2020-12-03,13730
2020-12-04,13845
2020-12-05,13747
2020-12-06,12297
2020-12-07,12536
2020-12-08,14597
2020-12-09,14890
2020-12-10,15065
2020-12-11,15057
2020-12-12,14870
2020-12-13,13247
2020-12-14,13404
2020-12-15,15982
2020-12-16,15396
2020-12-17,15059
2020-12-18,15063
2020-12-19,15006
2020-12-20,13681
2020-12-21,13996
2020-12-22,16591
2020-12-23,16276
2020-12-24,15647
2020-12-25,14365
2020-12-26,13237
2020-12-27,14987
2020-12-28,14655
2020-12-29,16430
2020-12-30,16574
2020-12-31,16561
2021-01-01,15849
2021-01-02,14964
2021-01-03,15757
2021-01-04,14898
2021-01-05,17885
2021-01-06,17456
2021-01-07,16840
2021-01-08,16765
2021-01-09,16567
2021-01-10,14330
2021-01-11,13995
2021-01-12,16432
2021-01-13,16231
2021-01-14,16033
2021-01-15,16051
2021-01-16,15421
2021-01-17,13251
2021-01-18,12839
2021-01-19,14330
2021-01-20,13879
2021-01-21,13679
2021-01-22,14000
2021-01-23,13119
2021-01-24,11203
2021-01-25,10518
2021-01-26,13050
2021-01-27,12281
2021-01-28,12012
2021-01-29,11033
2021-01-30,10890
2021-01-31,9386
2021-02-01,9118
2021-02-02,10482
2021-02-03,10412
2021-02-04,10459
2021-02-05,9973
2021-02-06,9634
2021-02-07,7935
2021-02-08,7461
2021-02-09,8904
2021-02-10,8519
2021-02-11,8192
2021-02-12,7769
2021-02-13,7420
2021-02-14,6387
2021-02-15,5773
2021-02-16,6903
2021-02-17,7118
2021-02-18,6773
2021-02-19,6580
2021-02-20,6592
2021-02-21,5694
2021-02-22,5632
2021-02-23,6657
2021-02-24,6469
2021-02-25,6127
2021-02-26,5637
2021-02-27,5456
2021-02-28,4868
2021-03-01,4456
2021-03-02,5319
2021-03-03,5287
2021-03-04,5284
2021-03-05,5203
2021-03-06,4949
2021-03-07,4242
2021-03-08,4229
2021-03-09,4989
2021-03-10,5060
2021-03-11,4839
2021-03-12,5113
2021-03-13,4621
2021-03-14,4023
2021-03-15,4104
2021-03-16,4895
2021-03-17,4830
2021-03-18,4817
2021-03-19,4797
2021-03-20,4787
2021-03-21,4024
2021-03-22,4130
2021-03-23,5175
2021-03-24,5077
2021-03-25,5168
2021-03-26,5067
2021-03-27,4959
2021-03-28,4563
2021-03-29,4426
2021-03-30,5346
2021-03-31,5163
2021-04-01,5266
2021-04-02,5244
2021-04-03,5201
2021-04-04,4705
2021-04-05,4780
2021-04-06,5946
2021-04-07,5710
2021-04-08,5636
2021-04-09,5671
2021-04-10,5506
2021-04-11,5123
2021-04-12,5019
2021-04-13,5826
2021-04-14,5685
2021-04-15,5666
2021-04-16,5855
2021-04-17,5761
2021-04-18,5135
2021-04-19,4995
2021-04-20,5711
2021-04-21,5526
2021-04-22,5339
2021-04-23,5168
2021-04-24,4980
2021-04-25,4470
2021-04-26,4400
2021-04-27,5209
2021-04-28,4936
2021-04-29,4892
2021-04-30,4959
2021-05-01,4453
2021-05-02,4002
2021-05-03,4190
2021-05-04,4706
2021-05-05,4460
2021-05-06,4294
2021-05-07,4295
2021-05-08,4082
2021-05-09,3412
2021-05-10,3495
2021-05-11,3998
2021-05-12,3862
2021-05-13,3674
2021-05-14,3676
2021-05-15,3434
2021-05-16,2945
2021-05-17,2951
2021-05-18,3481
2021-05-19,3462
2021-05-20,3169
2021-05-21,3211
2021-05-22,3138
2021-05-23,2766
2021-05-24,2750
2021-05-25,3130
2021-05-26,2966
2021-05-27,2950
2021-05-28,2758
2021-05-29,2522
2021-05-30,2229
2021-05-31,2144
2021-06-01,2220
2021-06-02,2574
2021-06-03,2403
2021-06-04,2362
2021-06-05,2186
2021-06-06,1896
2021-06-07,1871
2021-06-08,2264
2021-06-09,2161
2021-06-10,2151
2021-06-11,2180
2021-06-12,1964
2021-06-13,1790
2021-06-14,1755
2021-06-15,1955
2021-06-16,1988
2021-06-17,1901
2021-06-18,2014
2021-06-19,1779
2021-06-20,1582
2021-06-21,1617
2021-06-22,1975
2021-06-23,1902
2021-06-24,1905
2021-06-25,1844
2021-06-26,1893
2021-06-27,1746
2021-06-28,1775
2021-06-29,2053
2021-06-30,2101